1.88291E-05	9.24393E-06	7.13702E-06	2.44196E-06	4.75296E-06	2.03412E-06	2.35749E-07	1.94590E-06	2.64475E-06 1.56583E-06
1.57435E-05	1.25698E-05	6.35173E-06	4.67726E-06	3.46594E-06	7.77486E-07	6.45535E-06	1.75132E-06	1.91000E-06 1.64517E-06
1.30128E-05	7.78564E-06	6.20720E-06	3.55791E-06	4.04563E-06	1.96476E-06	5.40805E-06	3.15764E-06	6.55276E-07 9.71310E-07
1.94672E-05	1.16629E-05	5.30844E-06	4.20577E-06	4.46470E-06	1.95568E-06	5.64396E-06	2.21811E-06	1.12846E-06	5.79341E-07
4.56389E-05	1.53542E-05	4.88187E-06	3.51418E-06	2.24080E-06	8.10589E-07	1.07466E-05	2.72861E-06	2.93039E-07	1.24833E-06
1.71874E-04	2.65532E-05	7.81409E-06	2.26781E-06	6.12836E-06	1.52135E-06	3.90784E-05	8.38642E-07	5.87899E-07	4.68489E-07
6.81966E-04	6.61950E-05	9.55116E-06	3.28677E-06	2.53182E-06	9.68125E-07	9.80216E-05	4.78398E-06	9.87763E-07	6.66318E-07
2.28137E-03	1.87055E-04	1.60144E-05	4.93613E-06	7.44145E-06	1.63768E-06	2.19467E-04	9.59633E-07	1.18823E-07	4.13609E-09
6.44128E-03	5.48336E-04	3.06852E-05	9.83723E-06	5.46494E-06	1.85505E-07	3.77604E-04	1.99609E-06	1.74504E-06	5.47595E-07
1.47976E-02	1.43930E-03	5.90513E-05	1.69329E-05	4.40067E-06	2.10356E-06	5.12274E-04	9.09643E-06	6.76134E-07	7.37064E-07
2.31221E-02	3.26432E-03	1.26838E-04	3.68258E-05	6.92025E-06	1.39959E-06	5.25256E-04	2.35515E-05	1.44932E-06	1.46505E-07
1.86827E-02	6.33498E-03	2.92362E-04	8.25451E-05	1.18951E-05	1.59551E-06	4.28588E-04	4.97743E-05	4.11618E-07	5.35725E-07
9.33358E-03	1.06540E-02	6.38509E-04	1.80212E-04	2.19027E-05	2.92912E-06	2.97632E-04	7.99224E-05	1.08187E-06	1.99957E-07
5.02882E-03	1.67891E-02	1.31975E-03	3.83722E-04	3.72259E-05	3.04470E-06	2.10735E-04	7.74989E-05	4.07536E-07	7.15167E-07
2.54632E-03	1.93961E-02	2.54287E-03	7.78573E-04	7.00262E-05	4.09081E-06	1.76779E-04	5.76007E-05	1.62164E-07	2.84007E-07
1.26344E-03	1.36212E-02	4.63617E-03	1.50598E-03	1.38836E-04	6.93672E-06	1.41564E-04	4.63117E-05	7.42717E-07	6.41478E-07
7.08904E-04	7.54709E-03	7.72763E-03	2.71807E-03	2.68104E-04	1.28735E-05	1.07834E-04	3.61539E-05	1.38412E-06	5.49030E-07
3.82470E-04	4.48021E-03	1.06189E-02	4.62299E-03	5.20417E-04	2.09251E-05	9.57848E-05	2.86353E-05	7.94049E-07	4.69192E-07
2.01807E-04	2.53837E-03	1.10197E-02	7.22091E-03	9.92767E-04	3.61858E-05	1.16758E-04	2.17104E-05	3.12706E-07	3.22370E-07
1.20001E-04	1.36652E-03	8.51774E-03	9.34964E-03	1.84711E-03	6.46684E-05	1.62408E-04	1.99283E-05	5.46521E-07	6.06362E-07
7.13411E-05	7.93556E-04	5.63186E-03	9.18089E-03	3.27423E-03	1.14045E-04	2.57975E-04	1.69597E-05	1.27557E-06	6.58332E-07
4.44131E-05	4.68233E-04	3.68026E-03	6.89151E-03	5.47303E-03	1.98043E-04	4.35720E-04	1.34558E-05	1.67120E-06	5.37781E-08
3.31263E-05	2.69465E-04	2.37946E-03	4.64448E-03	8.25780E-03	3.43160E-04	7.64430E-04	1.16349E-05	4.73651E-07	6.42429E-07
2.51761E-05	1.61175E-04	1.47127E-03	3.18182E-03	1.07590E-02	5.86811E-04	1.35573E-03	1.23968E-05	1.43959E-06	2.82134E-07
2.09524E-05	1.02096E-04	9.01204E-04	2.11695E-03	1.17067E-02	9.79401E-04	2.39162E-03	1.31921E-05	3.03308E-07	1.91721E-06
1.76876E-05	6.58647E-05	5.68755E-04	1.34070E-03	1.05339E-02	1.57197E-03	3.96236E-03	1.89533E-05	7.93293E-07	2.37896E-07
1.94865E-05	4.96450E-05	3.63647E-04	8.56087E-04	8.22566E-03	2.41137E-03	6.05457E-03	2.90974E-05	8.01176E-08	1.67943E-07
2.26078E-05	4.03879E-05	2.31008E-04	5.58273E-04	5.97585E-03	3.45914E-03	8.39418E-03	5.04784E-05	3.03504E-07	1.03168E-07
2.26861E-05	3.21570E-05	1.46311E-04	3.63185E-04	4.26552E-03	4.50354E-03	1.06829E-02	8.57438E-05	3.61067E-07	3.83887E-07
2.46532E-05	2.92517E-05	1.00222E-04	2.36838E-04	2.99891E-03	5.24992E-03	1.25087E-02	1.57829E-04	3.79479E-07	6.20580E-07
2.39713E-05	2.75414E-05	6.94233E-05	1.56142E-04	2.05502E-03	5.40028E-03	1.37771E-02	2.80145E-04	5.69932E-07	1.89558E-06
2.53691E-05	2.83543E-05	5.26461E-05	1.06250E-04	1.38822E-03	4.91615E-03	1.45424E-02	4.81831E-04	1.60115E-06	1.44422E-06
2.31461E-05	2.71587E-05	3.84177E-05	7.65019E-05	9.44772E-04	4.10699E-03	1.49664E-02	8.09415E-04	1.22003E-06	4.36150E-07
2.74526E-05	2.82980E-05	3.32309E-05	5.73725E-05	6.48813E-04	3.25044E-03	1.51249E-02	1.30982E-03	8.38307E-07	5.25034E-07
2.67164E-05	2.53256E-05	2.79528E-05	4.39436E-05	4.44137E-04	2.49705E-03	1.51329E-02	2.06224E-03	1.67597E-06	2.30618E-06
2.61635E-05	2.54622E-05	2.43626E-05	3.53038E-05	2.99479E-04	1.87110E-03	1.50265E-02	3.10130E-03	1.71732E-06	2.16460E-06
2.59352E-05	2.59982E-05	2.51844E-05	3.11464E-05	2.06541E-04	1.37155E-03	1.48341E-02	4.46363E-03	1.32821E-06	1.66580E-06
3.14040E-05	3.14707E-05	2.43188E-05	2.85559E-05	1.47888E-04	9.98059E-04	1.45708E-02	6.09485E-03	1.72091E-06	5.91516E-07
3.60393E-05	3.52928E-05	2.38185E-05	2.67717E-05	1.11666E-04	7.17965E-04	1.42311E-02	7.91569E-03	4.44525E-06	1.60917E-06
3.64418E-05	3.39599E-05	2.60175E-05	2.88166E-05	8.48014E-05	5.19270E-04	1.38201E-02	9.76538E-03	7.85054E-06	9.63340E-07
3.84047E-05	3.86423E-05	2.83051E-05	2.71661E-05	6.91698E-05	3.75710E-04	1.33521E-02	1.14814E-02	1.35810E-05	2.82402E-06
3.85930E-05	3.81635E-05	2.77070E-05	2.94852E-05	5.83413E-05	2.72142E-04	1.27876E-02	1.28782E-02	2.52436E-05	3.16556E-06
4.21636E-05	4.05926E-05	3.04771E-05	3.00307E-05	5.11689E-05	1.98535E-04	1.20817E-02	1.38898E-02	4.77227E-05	7.10736E-06
4.20781E-05	4.32265E-05	2.86448E-05	2.88292E-05	4.88793E-05	1.44635E-04	1.13975E-02	1.45117E-02	8.78798E-05	1.10945E-05
4.12057E-05	3.92149E-05	2.87796E-05	2.92831E-05	4.44331E-05	1.06727E-04	1.06618E-02	1.47211E-02	1.57519E-04	1.93258E-05
4.02505E-05	3.81585E-05	2.75756E-05	2.74524E-05	3.96369E-05	8.08904E-05	9.90707E-03	1.46173E-02	2.82350E-04	3.51809E-05
3.92872E-05	4.00789E-05	2.61751E-05	2.71243E-05	3.67458E-05	6.25171E-05	9.14904E-03	1.41741E-02	4.96685E-04	6.14790E-05
3.85245E-05	3.83857E-05	2.66867E-05	2.69765E-05	3.58337E-05	4.99221E-05	8.37167E-03	1.34595E-02	8.72156E-04	1.04780E-04
3.46424E-05	3.38479E-05	2.37582E-05	2.44718E-05	3.21211E-05	3.86176E-05	7.60788E-03	1.26767E-02	1.54284E-03	1.78938E-04
2.94000E-05	2.90007E-05	2.21580E-05	2.33722E-05	2.85812E-05	3.08578E-05	6.90772E-03	1.17500E-02	2.71698E-03	2.99655E-04
3.00925E-05	2.81249E-05	2.02030E-05	2.16542E-05	2.51175E-05	2.42838E-05	6.24383E-03	1.08591E-02	4.59560E-03	5.10388E-04
2.44559E-05	2.66124E-05	1.70156E-05	1.85903E-05	2.42420E-05	2.11789E-05	5.62418E-03	9.86935E-03	7.48758E-03	8.55226E-04
2.49374E-05	2.47657E-05	1.45246E-05	1.66414E-05	2.09939E-05	1.75078E-05	5.01236E-03	8.84520E-03	9.93349E-03	1.40274E-03
1.76123E-05	2.19157E-05	1.48547E-05	1.67306E-05	1.86718E-05	1.40753E-05	4.49098E-03	8.00189E-03	7.04557E-03	2.24096E-03
2.01654E-05	1.95345E-05	1.34378E-05	1.33801E-05	1.72264E-05	1.19547E-05	4.00928E-03	7.11428E-03	2.99399E-03	3.39966E-03
1.58240E-05	1.85284E-05	1.19098E-05	1.33040E-05	1.56747E-05	1.05161E-05	3.55026E-03	6.28797E-03	1.19819E-03	5.15300E-03
1.49226E-05	1.55712E-05	9.91565E-06	1.08404E-05	1.49342E-05	8.88373E-06	3.15040E-03	5.51156E-03	5.01153E-04	7.91156E-03
1.07919E-05	1.41864E-05	8.69532E-06	1.04061E-05	1.37510E-05	8.18556E-06	2.76209E-03	4.77243E-03	2.25616E-04	1.06220E-02
1.06629E-05	8.90430E-06	8.08013E-06	7.76742E-06	1.07893E-05	6.24346E-06	2.42427E-03	4.13985E-03	1.08165E-04	9.23410E-03
1.08797E-05	1.12610E-05	6.82349E-06	7.39887E-06	9.84221E-06	5.40737E-06	2.13468E-03	3.60796E-03	5.29200E-05	4.15977E-03
8.01948E-06	6.43467E-06	8.56365E-06	6.56847E-06	7.90566E-06	4.99502E-06	1.88238E-03	3.13065E-03	2.86361E-05	1.65727E-03
6.31156E-06	9.92086E-06	5.40959E-06	6.25502E-06	7.41977E-06	5.22830E-06	1.66237E-03	2.70259E-03	1.54999E-05	7.24299E-04
9.16769E-06	5.82351E-06	6.86650E-06	5.00485E-06	7.77619E-06	3.73118E-06	1.44524E-03	2.30334E-03	1.07417E-05	3.27599E-04
6.88636E-06	3.42301E-06	5.12083E-06	5.07538E-06	7.87192E-06	2.43634E-06	1.24906E-03	1.95054E-03	6.63225E-06	1.56379E-04
