nm,S0,S1,S2
300.00,0.04,0.02,0.00
305.00,3.02,2.26,1.00
310.00,6.00,4.50,2.00
315.00,17.80,13.45,3.00
320.00,29.06,22.40,4.00
325.00,42.45,32.30,6.25
330.00,55.30,42.00,8.50
335.00,56.30,41.30,8.15
340.00,57.30,40.60,7.80
345.00,59.55,41.10,7.25
350.00,61.80,41.60,6.70
355.00,61.65,39.80,6.00
360.00,61.50,38.00,5.30
365.00,65.51,40.20,5.70
370.00,68.80,42.40,6.10
375.00,66.10,40.45,4.55
380.00,63.40,38.50,3.00
385.00,64.60,36.75,2.10
390.00,65.80,35.00,1.20
395.00,80.30,39.20,0.05
400.00,94.80,43.40,-1.10
405.00,99.80,44.85,-0.08
410.00,104.80,46.30,-0.05
415.00,105.35,45.10,-0.06
420.00,105.90,43.90,-0.70
425.00,101.35,40.50,-0.95
430.00,96.80,37.10,-1.20
435.00,105.35,36.90,-1.90
440.00,113.90,36.70,-2.60
445.00,119.75,36.30,-2.75
450.00,125.60,35.90,-2.90
455.00,125.55,34.25,-2.85
460.00,125.50,32.60,-2.80
465.00,123.40,30.25,-2.70
470.00,121.30,27.90,-2.60
475.00,121.30,26.10,-2.60
480.00,121.30,24.30,-2.60
485.00,117.40,22.20,-2.20
490.00,113.50,20.10,-1.80
495.00,113.30,18.15,-1.65
500.00,113.10,16.20,-1.15
505.00,111.95,14.70,-1.40
510.00,110.80,13.20,-1.30
515.00,108.65,10.95,-1.25
520.00,106.50,8.60,-1.20
525.00,107.65,7.35,-1.10
530.00,108.80,6.10,-1.00
535.00,107.05,5.15,-0.75
540.00,105.30,4.20,-0.05
545.00,104.85,3.05,-0.40
550.00,104.40,1.90,-0.30
555.00,102.20,0.95,-0.15
560.00,100.00,0.00,0.00
565.00,98.00,-0.80,0.10
570.00,96.00,-1.60,0.20
575.00,95.55,-2.55,0.35
580.00,95.10,-3.50,0.50
585.00,92.10,-3.50,1.30
590.00,89.10,-3.50,2.10
595.00,89.80,-4.65,2.65
600.00,90.50,-5.80,3.20
605.00,90.40,-6.50,3.65
610.00,90.30,-7.20,4.10
615.00,89.35,-7.90,4.40
620.00,88.40,-8.60,4.70
625.00,86.20,-9.05,4.90
630.00,84.00,-9.50,5.10
635.00,84.55,-10.20,5.90
640.00,85.10,-10.90,6.70
645.00,83.50,-10.80,7.00
650.00,81.90,-10.70,7.30
655.00,82.25,-11.35,7.95
660.00,82.60,-12.00,8.60
665.00,83.75,-13.00,9.20
670.00,84.90,-14.00,9.80
675.00,83.10,-13.80,10.00
680.00,81.30,-13.60,10.20
685.00,76.60,-12.80,9.25
690.00,71.90,-12.00,8.30
695.00,73.10,-12.65,8.95
700.00,74.30,-13.30,9.60
705.00,75.35,-13.10,9.05
710.00,76.40,-12.90,8.50
715.00,69.85,-11.75,7.75
720.00,63.30,-10.60,7.00
725.00,67.50,-11.10,7.30
730.00,71.70,-11.60,7.60
735.00,74.35,-11.90,7.80
740.00,77.00,-12.20,8.00
745.00,71.10,-11.20,7.35
750.00,65.20,-10.20,6.70
755.00,56.45,-9.00,5.95
760.00,47.70,-7.80,5.20
765.00,58.15,-9.50,6.30
770.00,68.60,-11.20,7.40
775.00,66.80,-10.80,7.10
780.00,65.00,-10.40,6.80
785.00,65.50,-10.50,6.90
790.00,66.00,-10.60,7.00
795.00,63.50,-10.15,6.70
800.00,61.00,-9.70,6.40
805.00,57.15,-9.00,5.95
810.00,53.30,-8.30,5.50
815.00,56.10,-8.80,5.80
820.00,58.90,-9.30,6.10
825.00,60.40,-9.55,6.30
830.00,61.90,-9.80,6.50
