spectral sensitivity functions for humans derived from photopigment spectral sensitivity adjusted for pre-receptoral filtering in a standard observer,,,,,,,,
"as defined by Lucas et al., ""Measuring and using light in the melanopsin age."" Trends in Neuroscience, Jan 2014",,,,,,,,
http://lucasgroup.lab.manchester.ac.uk/research/measuringmelanopicilluminance/,,,,,,,,
Referenced by Well Building Standard v1 2016 which uses it to calculate equilivant melanopic lux (EML),,,,,,,,
"as defined by that standard, Appendix C Table L1 & L2",,,,,,,,
measurements should be taken as lux on the cornea,,,,,,,,
nm,erythropic - L cone,chloropic - M cone,cyanopic - S cone,rhodopic - rods,melanopic - ipRGCs,photopic - all cones and rods,circadian - photopic and melanopic,standard observer pre-receptoral transmittance age 32 pupil undilated
380,0.000007,0.000008,0.000097,0.000010,0.000010,0.000039,0.000049,0.002512
385,0.000012,0.000014,0.000189,0.000018,0.000019,0.000064,0.000083,0.004467
390,0.000021,0.000023,0.000365,0.000032,0.000035,0.000120,0.000155,0.007943
395,0.000036,0.000040,0.000699,0.000058,0.000067,0.000217,0.000284,0.014125
400,0.000061,0.000069,0.001321,0.000106,0.000130,0.000396,0.000526,0.025119
405,0.000105,0.000121,0.002492,0.000202,0.000260,0.000640,0.000900,0.045030
410,0.000181,0.000213,0.004649,0.000391,0.000526,0.001210,0.001736,0.080724
415,0.000264,0.000322,0.007235,0.000649,0.000906,0.002180,0.003086,0.122180
420,0.000385,0.000496,0.011120,0.001091,0.001565,0.004000,0.005565,0.184927
425,0.000448,0.000618,0.013325,0.001461,0.002134,0.007300,0.009434,0.221309
430,0.000528,0.000788,0.015718,0.001959,0.002895,0.011600,0.014495,0.264850
435,0.000594,0.000960,0.017072,0.002457,0.003658,0.016840,0.020498,0.297167
440,0.000682,0.001189,0.018157,0.003066,0.004580,0.023000,0.027580,0.333426
445,0.000763,0.001418,0.017937,0.003615,0.005406,0.029800,0.035206,0.356041
450,0.000871,0.001701,0.017226,0.004226,0.006315,0.038000,0.044315,0.380189
455,0.000998,0.002012,0.015755,0.004819,0.007182,0.048000,0.055182,0.399485
460,0.001161,0.002375,0.013879,0.005446,0.008076,0.060000,0.068076,0.419759
465,0.001361,0.002785,0.011690,0.006087,0.008956,0.073900,0.082856,0.440048
470,0.001605,0.003244,0.009394,0.006745,0.009812,0.090980,0.100792,0.461318
475,0.001871,0.003699,0.007086,0.007313,0.010467,0.112600,0.123067,0.476980
